source,category_id,base_sku,sku_id,issue_type,sku_oed,sku_desc,sku_image,raw_label_title,raw_image,distinct_oed,distinct_images
phase1b,330,,"ELEANOR-MU-10",missing_oed,"","Eleanor Printed One Piece Swimsuit - 10 / MULTI","https://cdn.shopify.com/s/files/1/1608/5387/files/Eleanor-mu-one-piece.jpg?v=1754593880",,,,
phase1b,330,,"ELEANOR-MU-12",missing_oed,"","Eleanor Printed One Piece Swimsuit - 12 / MULTI","https://cdn.shopify.com/s/files/1/1608/5387/files/Eleanor-mu-one-piece.jpg?v=1754593880",,,,
phase1b,330,,"ELEANOR-MU-14",missing_oed,"","Eleanor Printed One Piece Swimsuit - 14 / MULTI","https://cdn.shopify.com/s/files/1/1608/5387/files/Eleanor-mu-one-piece.jpg?v=1754593880",,,,
phase1b,330,,"ELEANOR-MU-4",missing_oed,"","Eleanor Printed One Piece Swimsuit - 4 / MULTI","https://cdn.shopify.com/s/files/1/1608/5387/files/Eleanor-mu-one-piece.jpg?v=1754593880",,,,
phase1b,330,,"ELEANOR-MU-5",missing_oed,"","Eleanor Printed One Piece Swimsuit - 5 / MULTI","https://cdn.shopify.com/s/files/1/1608/5387/files/Eleanor-mu-one-piece.jpg?v=1754593880",,,,
phase1b,330,,"ELEANOR-MU-6",missing_oed,"","Eleanor Printed One Piece Swimsuit - 6 / MULTI","https://cdn.shopify.com/s/files/1/1608/5387/files/Eleanor-mu-one-piece.jpg?v=1754593880",,,,
phase1b,330,,"ELEANOR-MU-7",missing_oed,"","Eleanor Printed One Piece Swimsuit - 7 / MULTI","https://cdn.shopify.com/s/files/1/1608/5387/files/Eleanor-mu-one-piece.jpg?v=1754593880",,,,
phase1b,330,,"ELEANOR-MU-8",missing_oed,"","Eleanor Printed One Piece Swimsuit - 8 / MULTI","https://cdn.shopify.com/s/files/1/1608/5387/files/Eleanor-mu-one-piece.jpg?v=1754593880",,,,
phase1b,330,,"ELOUISE-MU-10",missing_oed,"","Elouise Rainbow Print Bikini Swimsuit - 10 / Light Blue","https://cdn.shopify.com/s/files/1/1608/5387/files/ELOUISE_da36622f-b97a-4c72-b437-352c17d61ff5.jpg?v=1756432968",,,,
phase1b,330,,"ELOUISE-MU-12",missing_oed,"","Elouise Rainbow Print Bikini Swimsuit - 12 / Light Blue","https://cdn.shopify.com/s/files/1/1608/5387/files/ELOUISE_da36622f-b97a-4c72-b437-352c17d61ff5.jpg?v=1756432968",,,,
phase1b,330,,"ELOUISE-MU-14",missing_oed,"","Elouise Rainbow Print Bikini Swimsuit - 14 / Light Blue","https://cdn.shopify.com/s/files/1/1608/5387/files/ELOUISE_da36622f-b97a-4c72-b437-352c17d61ff5.jpg?v=1756432968",,,,
phase1b,330,,"ELOUISE-MU-16",missing_oed,"","Elouise Rainbow Print Bikini Swimsuit - 16 / Light Blue","https://cdn.shopify.com/s/files/1/1608/5387/files/ELOUISE_da36622f-b97a-4c72-b437-352c17d61ff5.jpg?v=1756432968",,,,
phase1b,330,,"ELOUISE-MU-6",missing_oed,"","Elouise Rainbow Print Bikini Swimsuit - 6 / Light Blue","https://cdn.shopify.com/s/files/1/1608/5387/files/ELOUISE_da36622f-b97a-4c72-b437-352c17d61ff5.jpg?v=1756432968",,,,
phase1b,330,,"ELOUISE-MU-7",missing_oed,"","Elouise Rainbow Print Bikini Swimsuit - 7 / Light Blue","https://cdn.shopify.com/s/files/1/1608/5387/files/ELOUISE_da36622f-b97a-4c72-b437-352c17d61ff5.jpg?v=1756432968",,,,
phase1b,330,,"ELOUISE-MU-8",missing_oed,"","Elouise Rainbow Print Bikini Swimsuit - 8 / Light Blue","https://cdn.shopify.com/s/files/1/1608/5387/files/ELOUISE_da36622f-b97a-4c72-b437-352c17d61ff5.jpg?v=1756432968",,,,
phase1b,330,,"EM-OG-10/12",missing_oed,"","Em Braided Tie Dye Tank Dress - 10/12 / Orange","https://cdn.shopify.com/s/files/1/1608/5387/products/EM-OG-orange-tie-dye-swim-cover-back_1.jpg?v=1756433059",,,,
phase1b,330,,"EM-OG-14/16",missing_oed,"","Em Braided Tie Dye Tank Dress - 14/16 / Orange","https://cdn.shopify.com/s/files/1/1608/5387/products/EM-OG-orange-tie-dye-swim-cover-back_1.jpg?v=1756433059",,,,
phase1b,330,,"EM-OG-5/6",missing_oed,"","Em Braided Tie Dye Tank Dress - 5/6 / Orange","https://cdn.shopify.com/s/files/1/1608/5387/products/EM-OG-orange-tie-dye-swim-cover-back_1.jpg?v=1756433059",,,,
phase1b,330,,"EM-OG-7/8",missing_oed,"","Em Braided Tie Dye Tank Dress - 7/8 / Orange","https://cdn.shopify.com/s/files/1/1608/5387/products/EM-OG-orange-tie-dye-swim-cover-back_1.jpg?v=1756433059",,,,
phase1b,330,,"EMILIYA-AQ-10",missing_oed,"","Emiliya  - Crushed Velvet One Piece Swimsuit - 10 / Gray","https://cdn.shopify.com/s/files/1/1608/5387/files/EMILIYA-AQ-one-piece-swim-1_1.jpg?v=1756433100",,,,
phase1b,330,,"EMILIYA-AQ-12",missing_oed,"","Emiliya  - Crushed Velvet One Piece Swimsuit - 12 / Gray","https://cdn.shopify.com/s/files/1/1608/5387/files/EMILIYA-AQ-one-piece-swim-1_1.jpg?v=1756433100",,,,
phase1b,330,,"EMILIYA-AQ-14",missing_oed,"","Emiliya  - Crushed Velvet One Piece Swimsuit - 14 / Gray","https://cdn.shopify.com/s/files/1/1608/5387/files/EMILIYA-AQ-one-piece-swim-1_1.jpg?v=1756433100",,,,
phase1b,330,,"EMILIYA-AQ-16",missing_oed,"","Emiliya  - Crushed Velvet One Piece Swimsuit - 16 / Gray","https://cdn.shopify.com/s/files/1/1608/5387/files/EMILIYA-AQ-one-piece-swim-1_1.jpg?v=1756433100",,,,
phase1b,330,,"EMILIYA-AQ-7",missing_oed,"","Emiliya  - Crushed Velvet One Piece Swimsuit - 7 / Gray","https://cdn.shopify.com/s/files/1/1608/5387/files/EMILIYA-AQ-one-piece-swim-1_1.jpg?v=1756433100",,,,
phase1b,330,,"EMILIYA-AQ-8",missing_oed,"","Emiliya  - Crushed Velvet One Piece Swimsuit - 8 / Gray","https://cdn.shopify.com/s/files/1/1608/5387/files/EMILIYA-AQ-one-piece-swim-1_1.jpg?v=1756433100",,,,
phase1b,330,,"ESTHER-AQ-10",missing_oed,"","Crinkle One Piece Swimsuit - Aqua - 10 / Aqua","https://cdn.shopify.com/s/files/1/1608/5387/files/ESTHER_36b1e256-8a7f-414e-b190-a1b273d2a4fb.jpg?v=1754593334",,,,
phase1b,330,,"ESTHER-AQ-12",missing_oed,"","Crinkle One Piece Swimsuit - Aqua - 12 / Aqua","https://cdn.shopify.com/s/files/1/1608/5387/files/ESTHER_36b1e256-8a7f-414e-b190-a1b273d2a4fb.jpg?v=1754593334",,,,
phase1b,330,,"ESTHER-AQ-14",missing_oed,"","Crinkle One Piece Swimsuit - Aqua - 14 / Aqua","https://cdn.shopify.com/s/files/1/1608/5387/files/ESTHER_36b1e256-8a7f-414e-b190-a1b273d2a4fb.jpg?v=1754593334",,,,
phase1b,330,,"ESTHER-AQ-16",missing_oed,"","Crinkle One Piece Swimsuit - Aqua - 16 / Aqua","https://cdn.shopify.com/s/files/1/1608/5387/files/ESTHER_36b1e256-8a7f-414e-b190-a1b273d2a4fb.jpg?v=1754593334",,,,
phase1b,330,,"ESTHER-AQ-7",missing_oed,"","Crinkle One Piece Swimsuit - Aqua - 7 / Aqua","https://cdn.shopify.com/s/files/1/1608/5387/files/ESTHER_36b1e256-8a7f-414e-b190-a1b273d2a4fb.jpg?v=1754593334",,,,
